package_name,ecosystem,max_entropy,avg_entropy,eval_count,exec_count,base64_count,network_imports,label
fast-dice-coefficient-1.0.3,NPM,5.067913388600351,4.680703770881716,0,0,0,0,0
fd-m000018-4.6.201908261618,NPM,5.912238983647595,5.169502789399393,0,0,0,0,0
fdir-size-1.0.3,NPM,5.365348480189916,4.70128849979337,0,0,0,0,0
fetchify-0.3.11,NPM,5.383929314887504,4.5463895413927435,0,0,0,0,0
ffp-1.0.0,NPM,5.137551345389882,4.981350503278664,0,0,0,0,0
fft-windowing-ts-0.2.7,NPM,5.078743294828841,4.786392794999895,0,0,0,0,0
file-chooser-0.0.7,NPM,6.009395432692273,5.244054978662914,0,0,0,0,0
filetype.js-1.1.5,NPM,4.909676259160613,4.582441695530724,0,0,0,0,0
find-accounts-for-hostname-1.3.0,NPM,4.8860485619240785,4.699817793765299,0,0,0,0,0
first-born-1.1.8,NPM,7.921389149786947,4.3862171608744145,0,0,0,0,0
fis-msprd-autoprefixer_6_6_1-6.6.1,NPM,5.119306845641124,4.679281550297309,0,0,0,0,0
fit-to-bounds-1.0.2,NPM,5.1100835540128395,4.592366934042824,0,0,0,0,0
fizzeroll-1.0.15,NPM,5.168377426714097,4.683285011894173,6,0,0,0,0
flipbook-vue2-1.0.2,NPM,5.41504447283068,4.879046049488748,0,0,0,0,0
float-rgb2hsl-1.0.1,NPM,5.185397464915408,4.772496461730283,0,0,0,0,0
fluent-timer-1.0.3,NPM,5.092244893345596,4.723574540229889,0,0,0,0,0
flyout-2.3.1,NPM,5.282120368725648,4.914888341288526,0,0,0,0,0
forex-analytics-fomo-1.0.13,NPM,5.777482857183081,4.762779503052669,0,2,0,0,0
form-component-1.0.3,NPM,5.244792599321522,5.003281827150315,0,0,0,0,0
foundationdb-tuple-11.13.0,NPM,4.925941778508367,4.422279494044829,0,0,0,0,0
fp-ts-reactive-0.7.0,NPM,5.1645035220583315,4.879900557735608,0,0,0,0,0
fpjc-test-0.0.1,NPM,5.312240667211397,4.770056485359069,0,0,0,0,0
fracjs-1.0.5,NPM,5.8747854645497055,4.740303551254966,0,0,0,0,0
fract-0.1.0,NPM,5.100753348194373,4.572746871979012,0,0,0,0,0
frequent-itemset-1.0.5,NPM,5.0986969653647005,4.695449114204166,0,0,0,0,0
frox-winston-elasticsearch-0.15.7,NPM,5.165226161672959,4.706941509312281,0,0,0,0,0
fullspeed-draw-1.0.11,NPM,5.605435121280781,4.830130288774526,0,0,0,0,0
fun-stats-1.1.2,NPM,7.883865241290387,6.551911207368807,0,0,0,0,0
functional-node-1.0.2,NPM,5.096309084332494,4.968064404609285,0,0,0,0,0
funnel-total-bar-2.0.0,NPM,5.608901372914944,4.727310493602695,0,0,0,0,0
funny-divide-1.0.3,NPM,4.971810932339621,4.692728540872756,0,0,0,0,0
fuse-worker-0.7.12,NPM,5.214560836854267,4.813967344579172,0,0,0,0,0
fuzzy-equal-1.0.1,NPM,6.372290434706449,4.910564347499168,0,0,0,0,0
game-colorkey-0.0.9,NPM,5.571150629661015,4.141571319642707,0,0,0,0,0
